name,lon,lat,variable,initmonth,leadtime,mean,stdev,pval
44_40,44.0,40.0,tmn,2,5,11.377756118774414,0.9651477932929992,0.1909852027893066
44_40,44.0,40.0,tmn,2,6,11.457465171813965,0.8896390199661255,0.7689744830131531
44_40,44.0,40.0,tmn,3,0,-6.979043483734131,2.092001914978028,0.3217681348323822
44_40,44.0,40.0,tmn,3,1,-2.5859553813934326,1.6036027669906616,0.2106529027223587
44_40,44.0,40.0,tmn,3,2,3.129191875457764,1.117081880569458,0.9404576420783995
44_40,44.0,40.0,tmn,3,3,7.750856399536133,0.9589608311653136,0.8427702188491821
44_40,44.0,40.0,tmn,3,4,11.5304594039917,0.9495506286621094,0.1909852027893066
44_40,44.0,40.0,tmn,3,5,11.609404563903809,0.9076258540153505,0.7689744830131531
44_40,44.0,40.0,tmn,3,6,7.532398700714111,1.1103858947753906,0.4860592186450958
44_40,44.0,40.0,tmn,4,0,-1.7971133298216395,1.3375312024522543,0.2106529027223587
44_40,44.0,40.0,tmn,4,1,3.465772228556142,1.15931073374271,0.9404576420783995
44_40,44.0,40.0,tmn,4,2,8.05679651177363,1.0711825604385523,0.8427702188491821
44_40,44.0,40.0,tmn,4,3,11.740348698096216,0.9978667981883916,0.1909852027893066
44_40,44.0,40.0,tmn,4,4,11.775721374435705,0.9507507855289355,0.7689744830131531
44_40,44.0,40.0,tmn,4,5,7.734683082191397,1.185021945087879,0.4860592186450958
44_40,44.0,40.0,tmn,4,6,2.649086641360859,1.406706565288364,0.0436792448163032
44_40,44.0,40.0,tmn,5,0,3.668879985809326,0.8891937136650085,0.9404576420783995
44_40,44.0,40.0,tmn,5,1,8.009697914123535,0.9485293626785278,0.8427702188491821
44_40,44.0,40.0,tmn,5,2,11.922249794006348,0.881507396697998,0.1909852027893066
44_40,44.0,40.0,tmn,5,3,11.972673416137695,0.9295562505722046,0.7689744830131531
44_40,44.0,40.0,tmn,5,4,7.838913917541504,1.145636796951294,0.4860592186450958
44_40,44.0,40.0,tmn,5,5,2.593522071838379,1.4554916620254517,0.0436792448163032
44_40,44.0,40.0,tmn,5,6,-4.54332447052002,2.36046838760376,0.0487977154552936
44_40,44.0,40.0,tmn,6,0,7.991842746734619,0.9804423451423644,0.8427702188491821
44_40,44.0,40.0,tmn,6,1,11.965922355651855,0.9247811436653136,0.1909852027893066
44_40,44.0,40.0,tmn,6,2,12.076811790466309,0.8983912467956543,0.7689744830131531
44_40,44.0,40.0,tmn,6,3,7.758910179138184,1.0916407108306885,0.4860592186450958
44_40,44.0,40.0,tmn,6,4,2.575603723526001,1.4146013259887695,0.0436792448163032
44_40,44.0,40.0,tmn,6,5,-4.290700912475586,2.238306760787964,0.0487977154552936
44_40,44.0,40.0,tmn,6,6,-11.517011642456056,2.5113587379455566,0.0212651323527097
44_40,44.0,40.0,tmn,7,0,11.625709533691406,0.926235854625702,0.1909852027893066
44_40,44.0,40.0,tmn,7,1,12.05668830871582,0.8815683126449585,0.7689744830131531
44_40,44.0,40.0,tmn,7,2,7.796382904052734,1.1081647872924805,0.4860592186450958
44_40,44.0,40.0,tmn,7,3,2.5037388801574707,1.511510133743286,0.0436792448163032
44_40,44.0,40.0,tmn,7,4,-4.488389015197754,2.38559889793396,0.0487977154552936
44_40,44.0,40.0,tmn,7,5,-11.40425968170166,2.4528911113739014,0.0212651323527097
44_40,44.0,40.0,tmn,7,6,-13.852124214172363,1.975467562675476,0.0797291174530983
44_40,44.0,40.0,tmn,8,0,11.725438117980955,0.9626971483230592,0.7689744830131531
44_40,44.0,40.0,tmn,8,1,7.886550903320312,1.0796481370925903,0.4860592186450958
44_40,44.0,40.0,tmn,8,2,2.5302481651306152,1.382317066192627,0.0436792448163032
44_40,44.0,40.0,tmn,8,3,-4.311600208282471,2.329279661178589,0.0487977154552936
44_40,44.0,40.0,tmn,8,4,-11.248165130615234,2.526288747787476,0.0212651323527097
44_40,44.0,40.0,tmn,8,5,-14.038121223449709,2.0655641555786133,0.0797291174530983
44_40,44.0,40.0,tmn,8,6,-12.2206449508667,2.0685372352600098,0.5064567923545837
44_40,44.0,40.0,tmn,9,0,8.094074513575718,1.7692191306190388,0.4860592186450958
44_40,44.0,40.0,tmn,9,1,3.530504142491073,3.980617330782595,0.0436792448163032
44_40,44.0,40.0,tmn,9,2,-2.2835492136496915,6.042373651089123,0.0487977154552936
44_40,44.0,40.0,tmn,9,3,-8.505760711470057,7.873532738646856,0.0212651323527097
44_40,44.0,40.0,tmn,9,4,-11.283947264279446,8.567844234924713,0.0797291174530983
44_40,44.0,40.0,tmn,9,5,-9.969250360870936,8.227697583936358,0.5064567923545837
44_40,44.0,40.0,tmn,9,6,-5.96271021969305,6.74661237477412,0.3217681348323822
44_40,44.0,40.0,tmn,10,0,2.7005789294856077,3.126275572911433,0.0436792448163032
44_40,44.0,40.0,tmn,10,1,-3.591441330674495,4.804923346963662,0.0487977154552936
44_40,44.0,40.0,tmn,10,2,-10.092061664815,6.1349446422086,0.0212651323527097
44_40,44.0,40.0,tmn,10,3,-12.571610672963178,6.481721949127004,0.0797291174530983
44_40,44.0,40.0,tmn,10,4,-11.221733336074037,6.186897773791177,0.5064567923545837
44_40,44.0,40.0,tmn,10,5,-7.209371607711249,5.206541183425062,0.3217681348323822
44_40,44.0,40.0,tmn,10,6,-2.147567090528449,3.788242054092016,0.2106529027223587
44_40,44.0,40.0,tmn,11,0,-3.640236119263813,4.578077471571202,0.0487977154552936
44_40,44.0,40.0,tmn,11,1,-10.083942960323292,6.181831804444006,0.0212651323527097
44_40,44.0,40.0,tmn,11,2,-12.797893313131285,6.453980156961381,0.0797291174530983
44_40,44.0,40.0,tmn,11,3,-11.236231311691649,6.190570925137981,0.5064567923545837
44_40,44.0,40.0,tmn,11,4,-7.026428424948612,5.151519661592156,0.3217681348323822
44_40,44.0,40.0,tmn,11,5,-2.1130045031789533,3.727496256380538,0.2106529027223587
44_40,44.0,40.0,tmn,11,6,3.2718966582394056,2.2027251102847685,0.9404576420783995
44_40,44.0,40.0,tmn,12,0,-9.72434681144555,6.179255152161463,0.0212651323527097
44_40,44.0,40.0,tmn,12,1,-12.962860234331917,6.591465627756985,0.0797291174530983
44_40,44.0,40.0,tmn,12,2,-11.532768288776866,6.329981264767612,0.5064567923545837
44_40,44.0,40.0,tmn,12,3,-7.385302030951017,5.223515309390606,0.3217681348323822
44_40,44.0,40.0,tmn,12,4,-2.266486138197415,3.737183048386091,0.2106529027223587
44_40,44.0,40.0,tmn,12,5,3.257771354723505,2.2052404828243715,0.9404576420783995
44_40,44.0,40.0,tmn,12,6,7.914670823169954,1.1775696853452895,0.8427702188491821
44_41,44.0,41.0,tmx,1,0,-3.3821115493774414,2.0832200050354004,0.9254112243652344
44_41,44.0,41.0,tmx,1,1,-2.1012074947357178,2.080354928970337,0.5114526152610779
44_41,44.0,41.0,tmx,1,2,2.1003777980804443,2.133828639984131,0.2688401043415069
44_41,44.0,41.0,tmx,1,3,8.912784576416016,2.1904408931732178,0.9055399298667908
44_41,44.0,41.0,tmx,1,4,15.336111068725586,1.5561025142669678,0.1482055783271789
44_41,44.0,41.0,tmx,1,5,19.30006599426269,1.4296094179153442,0.0245068632066249
44_41,44.0,41.0,tmx,1,6,22.22654151916504,1.376429796218872,0.901462972164154
44_41,44.0,41.0,tmx,2,0,-1.2131450176239014,2.0517592430114746,0.5114526152610779
44_41,44.0,41.0,tmx,2,1,2.429481744766236,2.287221193313598,0.2688401043415069
44_41,44.0,41.0,tmx,2,2,9.12130069732666,2.0535085201263428,0.9055399298667908
44_41,44.0,41.0,tmx,2,3,15.243572235107422,1.564651370048523,0.1482055783271789
