name,lon,lat,variable,initmonth,leadtime,alpha,loc,scale,pzero,pval
44_43,44.0,43.0,tp,6,5,3.7811939205282425,0.0,17.40111882188656,0.0,0.9264306084243368
44_43,44.0,43.0,tp,6,6,6.710783404838582,0.0,6.807327846946188,0.0,0.7431472328632733
44_43,44.0,43.0,tp,7,0,10.561418556869953,0.0,24.808978449268757,0.0,0.8526436916164741
44_43,44.0,43.0,tp,7,1,7.625632172607651,0.0,30.371547421006724,0.0,0.8063751249383855
44_43,44.0,43.0,tp,7,2,6.619401355318944,0.0,25.643635248015077,0.0,0.3836024907423256
44_43,44.0,43.0,tp,7,3,8.825281130074908,0.0,12.132644379188152,0.0,0.4889200312941524
44_43,44.0,43.0,tp,7,4,3.7811939205282425,0.0,17.40111882188656,0.0,0.9264306084243368
44_43,44.0,43.0,tp,7,5,6.710783404838582,0.0,6.807327846946188,0.0,0.7431472328632733
44_43,44.0,43.0,tp,7,6,5.050654949651638,0.0,9.369775218989794,0.0,0.9456175336243372
44_43,44.0,43.0,tp,8,0,7.625632172607651,0.0,30.371547421006724,0.0,0.8063751249383855
44_43,44.0,43.0,tp,8,1,6.619401355318944,0.0,25.643635248015077,0.0,0.3836024907423256
44_43,44.0,43.0,tp,8,2,8.825281130074908,0.0,12.132644379188152,0.0,0.4889200312941524
44_43,44.0,43.0,tp,8,3,3.7811939205282425,0.0,17.40111882188656,0.0,0.9264306084243368
44_43,44.0,43.0,tp,8,4,6.710783404838582,0.0,6.807327846946188,0.0,0.7431472328632733
44_43,44.0,43.0,tp,8,5,5.050654949651638,0.0,9.369775218989794,0.0,0.9456175336243372
44_43,44.0,43.0,tp,8,6,8.550796697951226,0.0,6.093759512578104,0.0,0.5527025924063332
44_43,44.0,43.0,tp,9,0,6.619401355318944,0.0,25.643635248015077,0.0,0.3836024907423256
44_43,44.0,43.0,tp,9,1,8.825281130074908,0.0,12.132644379188152,0.0,0.4889200312941524
