name,lon,lat,variable,initmonth,leadtime,alpha,loc,scale,pzero,pval
46_42,46.0,42.0,tp,11,0,4.167383779046036,0.0,9.266719257944477,0.0,0.4311126320152765
46_42,46.0,42.0,tp,11,1,2.5589314291086813,0.0,11.59112884738472,0.0,0.2185446052110982
46_42,46.0,42.0,tp,11,2,2.439569345502808,0.0,11.070252516020728,0.0,0.1531308686433512
46_42,46.0,42.0,tp,11,3,3.569768351613879,0.0,8.348825069003597,0.0,0.251457588567393
46_42,46.0,42.0,tp,11,4,7.563736675332367,0.0,6.213432963902875,0.0,0.5836825747415022
46_42,46.0,42.0,tp,11,5,5.021237782289305,0.0,14.272842515305708,0.0,0.1531636617246944
46_42,46.0,42.0,tp,11,6,3.532660897294253,0.0,27.276436410331367,0.0,0.068511438419394
46_42,46.0,42.0,tp,12,0,2.749487335598851,0.0,11.073723455959136,0.0,0.1997337034867369
46_42,46.0,42.0,tp,12,1,2.616190333899069,0.0,10.097997786436446,0.0,0.2025363554388022
46_42,46.0,42.0,tp,12,2,3.333998828844823,0.0,9.06896574979768,0.0,0.1178803615811757
46_42,46.0,42.0,tp,12,3,7.209349906209366,0.0,6.500356168343935,0.0,0.4517356744871849
46_42,46.0,42.0,tp,12,4,5.846002715412942,0.0,12.045282418838358,0.0,0.2413368685903916
46_42,46.0,42.0,tp,12,5,3.6436057572303335,0.0,26.761317135188044,0.0,0.0660218572059104
46_42,46.0,42.0,tp,12,6,2.407728270941076,0.0,29.615809307420243,0.0,0.2284804518384132
46_43,46.0,43.0,tp,1,0,7.301673177625626,0.0,3.903935409609596,0.0,0.4981062703119448
46_43,46.0,43.0,tp,1,1,7.658779392827078,0.0,4.022014081740508,0.0,0.4471492911632351
46_43,46.0,43.0,tp,1,2,12.187815766195085,0.0,4.262858741703886,0.0,0.4598529839223327
46_43,46.0,43.0,tp,1,3,13.015762361428193,0.0,6.245082346643709,0.0,0.51724441204388
46_43,46.0,43.0,tp,1,4,14.478746097769331,0.0,7.823275343135033,0.0,0.3832485953558054
46_43,46.0,43.0,tp,1,5,14.868806644222474,0.0,8.081904405722746,0.0,0.4349340850592376
46_43,46.0,43.0,tp,1,6,10.822536325499302,0.0,9.876313768938624,0.0,0.513036462482105
46_43,46.0,43.0,tp,2,0,6.040800456399934,0.0,5.2304482426654575,0.0,0.4174291403598795
46_43,46.0,43.0,tp,2,1,12.152001033833605,0.0,4.443209071103283,0.0,0.5152716119371769
46_43,46.0,43.0,tp,2,2,13.127630201566966,0.0,6.36668998238547,0.0,0.4508926889522185
46_43,46.0,43.0,tp,2,3,14.49576852444496,0.0,8.127987044185945,0.0,0.5294291308016892
46_43,46.0,43.0,tp,2,4,15.431710317246546,0.0,8.022835179976386,0.0,0.3905347054989433
46_43,46.0,43.0,tp,2,5,10.293168941940577,0.0,10.38251346613745,0.0,0.5181507569997936
46_43,46.0,43.0,tp,2,6,9.182117932290156,0.0,10.400543372708196,0.0,0.5405974188588705
46_43,46.0,43.0,tp,3,0,10.573498448662786,0.0,5.465341944957144,0.0,0.5006641580317358
46_43,46.0,43.0,tp,3,1,12.780539685270329,0.0,6.689723428140782,0.0,0.5503843880550858
46_43,46.0,43.0,tp,3,2,17.976503262504526,0.0,6.697354750985999,0.0,0.5124296308007323
46_43,46.0,43.0,tp,3,3,17.308701927238786,0.0,7.211727276956807,0.0,0.4585854556206712
46_43,46.0,43.0,tp,3,4,12.206806286446628,0.0,8.971443459859744,0.0,0.4373611084879244
